Date Range,Actual Volatility,Predicted Volatility
2017-02-10 to 2017-02-24,0.3252496999999998,0.3387501999999998
2008-08-26 to 2008-09-09,0.31185730000000034,0.12557109999999988
2023-01-27 to 2023-02-09,2.6369964000000037,3.136003100000002
2012-12-10 to 2012-12-21,0.4207500000000003,0.7043575999999998
1993-12-16 to 1993-12-30,0.0133926,0.006392699999999996
2008-01-08 to 2008-01-22,0.24717849999999997,0.2016787
2014-09-10 to 2014-09-23,0.4442504999999993,0.5434996999999996
2008-06-30 to 2008-07-14,0.24625010000000006,0.2343925999999999
2014-01-22 to 2014-02-04,0.29417869999999946,0.6024643999999999
2013-03-22 to 2013-04-05,0.36099999999999977,0.35217880000000046
2019-01-09 to 2019-01-23,0.9119997000000005,0.5972495000000002
1989-05-03 to 1989-05-16,0.011160500000000007,0.0146785
1996-12-04 to 1996-12-17,0.008258899999999996,0.009152000000000004
2013-08-28 to 2013-09-11,0.35039229999999916,0.46803580000000017
2019-08-28 to 2019-09-11,0.8835003000000021,0.8504996999999996
1990-05-29 to 1990-06-11,0.010602700000000003,0.011830200000000008
2005-12-27 to 2006-01-10,0.10607150000000001,0.08707159999999994
1993-04-16 to 1993-04-29,0.014397299999999997,0.017633999999999993
2013-06-04 to 2013-06-17,0.33950010000000025,0.3230715
2013-04-08 to 2013-04-19,0.39317860000000027,0.4051073999999993
2013-03-08 to 2013-03-21,0.3158213000000005,0.2828209000000001
1993-03-18 to 1993-03-31,0.014397399999999994,0.014062499999999988
2010-08-20 to 2010-09-02,0.1418215,0.20035719999999985
2004-10-19 to 2004-11-01,0.027410499999999994,0.03266060000000002
2013-10-10 to 2013-10-23,0.3460000999999998,0.30403599999999964
2017-11-27 to 2017-12-08,0.46024979999999827,0.8775008999999997
1998-03-13 to 1998-03-26,0.006640999999999997,0.0107141
2020-04-17 to 2020-04-30,2.007000699999999,1.7377492999999986
2019-12-06 to 2019-12-19,1.2349999999999994,1.1747497999999994
1984-05-22 to 1984-06-05,0.0041853999999999945,0.009654000000000006
1989-12-19 to 1990-01-03,0.013281399999999988,0.0193081
1992-05-19 to 1992-06-02,0.012499699999999997,0.01696440000000001
1981-10-27 to 1981-11-09,0.0006137999999999963,0.0006695999999999965
