Date Range,Actual Volatility,Predicted Volatility,Model
1983-03-02 to 1983-03-15,0.3261855424035936,0.44875820252788773,RandomForest
1998-10-15 to 1998-10-28,0.3386221067342502,0.4014027098180191,RandomForest
2004-03-30 to 2004-04-13,0.49669637403559386,0.42796146709482813,RandomForest
2008-11-05 to 2008-11-18,0.7535699002316302,0.3906241199309125,RandomForest
1982-12-20 to 1983-01-03,0.5363755987338718,0.44248306097646484,RandomForest
2017-11-27 to 2017-12-08,0.11794592036970825,0.1758752997236059,RandomForest
2004-12-01 to 2004-12-14,0.2903473724569235,0.43165349143718607,RandomForest
2015-04-16 to 2015-04-29,0.14829836921180023,0.16583481769060604,RandomForest
1983-09-20 to 1983-10-03,1.1903136768147193,0.5972337514963642,RandomForest
2013-07-02 to 2013-07-16,0.2466675162643641,0.1572390359392353,RandomForest
2005-05-24 to 2005-06-07,0.27935496039443436,0.4058868923079103,RandomForest
2008-07-29 to 2008-08-11,0.10553115612255753,0.2684461727176864,RandomForest
1984-12-10 to 1984-12-21,0.2288585983595114,0.44264764045004,RandomForest
2023-08-18 to 2023-08-31,0.30088182845670397,0.1943532896510108,RandomForest
2017-02-27 to 2017-03-10,0.07602404510328972,0.12823481815692975,RandomForest
2010-09-03 to 2010-09-17,0.1433015469171484,0.1708299433940497,RandomForest
2018-03-09 to 2018-03-22,0.2564927983125377,0.2249389784933482,RandomForest
1991-10-01 to 1991-10-14,0.370491636597332,0.288872725376629,RandomForest
1999-03-25 to 1999-04-08,0.41298262058632346,0.39050151244653186,RandomForest
1991-03-27 to 1991-04-10,0.6868159951310552,0.3024340311444846,RandomForest
1990-02-01 to 1990-02-14,0.27328795032843717,0.2857124779094025,RandomForest
1999-04-23 to 1999-05-06,0.28126159535177214,0.43806762563953855,RandomForest
2012-07-31 to 2012-08-13,0.18123454265132485,0.15045036355177221,RandomForest
1989-07-28 to 1989-08-10,0.35724577050423406,0.3479714151384081,RandomForest
1996-12-18 to 1997-01-02,0.9765703567283214,0.4496717751390788,RandomForest
1984-05-08 to 1984-05-21,0.3478767114858077,0.4192901792219855,RandomForest
2009-12-02 to 2009-12-15,0.21420550596998816,0.22434975593685394,RandomForest
2014-02-05 to 2014-02-19,0.09512248797907635,0.16469218431150964,RandomForest
1998-06-09 to 1998-06-22,0.20360687128719518,0.3131378456612913,RandomForest
1985-06-03 to 1985-06-14,0.31348954893026654,0.4668083697446505,RandomForest
2000-03-07 to 2000-03-20,0.462445063366498,0.496569603882684,RandomForest
2007-12-21 to 2008-01-07,0.33386185588729855,0.2868990187772035,RandomForest
2005-03-29 to 2005-04-11,0.524756360581566,0.3069876640367162,RandomForest
1992-01-10 to 1992-01-23,0.2368696475043954,0.38602419567362634,RandomForest
2001-04-17 to 2001-04-30,0.263039046727009,0.4496384360328425,RandomForest
1987-03-16 to 1987-03-27,0.4210625090686135,0.3222176085476222,RandomForest
1999-09-29 to 1999-10-12,0.3595049667259879,0.37420134248600717,RandomForest
1985-04-04 to 1985-04-18,0.2900427162717874,0.38170730198974473,RandomForest
2014-08-12 to 2014-08-25,0.26756341415804086,0.17748742705666187,RandomForest
1988-10-26 to 1988-11-08,0.18516208808157641,0.3233185579768633,RandomForest
2017-03-13 to 2017-03-24,0.11198353357928933,0.13325725941115452,RandomForest
2011-01-27 to 2011-02-09,0.22604094406043587,0.1703399220917978,RandomForest
1989-03-07 to 1989-03-20,0.28088756280126587,0.27400025754758417,RandomForest
2013-12-20 to 2014-01-06,0.15963765581257292,0.15874135533004538,RandomForest
1997-12-01 to 1997-12-12,0.34459475967099695,0.6798432427189366,RandomForest
2008-04-04 to 2008-04-17,0.2663995048551424,0.26419458462759265,RandomForest
1992-07-01 to 1992-07-15,0.44361692525171825,0.2593937377318694,RandomForest
1996-07-15 to 1996-07-26,0.411648001731074,0.4651090673785408,RandomForest
1982-03-08 to 1982-03-19,0.4455145408420875,0.40965618446537144,RandomForest
2013-09-26 to 2013-10-09,0.14045700786610296,0.18748092129524602,RandomForest
2006-12-08 to 2006-12-21,0.4497212399293948,0.2807793183860916,RandomForest
1994-12-28 to 1995-01-11,0.5166431176534634,0.43787340625952476,RandomForest
2007-10-25 to 2007-11-07,0.5302585000581725,0.2644311116185504,RandomForest
2017-09-15 to 2017-09-28,0.09429129011513347,0.19059038656401558,RandomForest
2004-03-16 to 2004-03-29,0.23261049384446092,0.32807002489966564,RandomForest
2013-02-07 to 2013-02-21,0.19358833397217953,0.1916171112137094,RandomForest
2009-05-14 to 2009-05-28,0.2355898308544348,0.2509834908582137,RandomForest
1990-07-25 to 1990-08-07,0.25961495710088506,0.33495639196924665,RandomForest
2010-08-20 to 2010-09-02,0.13897457952859937,0.19163698845384622,RandomForest
1986-07-14 to 1986-07-25,0.3475147324455172,0.46061215091378627,RandomForest
1986-06-13 to 1986-06-26,0.5603879787881472,0.3790174010199936,RandomForest
2004-01-16 to 2004-01-30,0.2755181566625382,0.3502237658107171,RandomForest
1992-07-30 to 1992-08-12,0.11081770853670062,0.2931412538778847,RandomForest
2020-05-01 to 2020-05-14,0.20240237039754158,0.20359193793638322,RandomForest
2021-03-17 to 2021-03-30,0.11351414324713043,0.2349678479513129,RandomForest
1998-03-13 to 1998-03-26,0.2678751602504567,0.47396734217976905,RandomForest
