Date Range,Actual Volatility,Predicted Volatility
1988-03-01 to 1988-03-14,0.24103523273395733,0.41693707558959
1988-03-15 to 1988-03-28,0.3690329724765899,0.41693707558959
1988-03-29 to 1988-04-12,0.3119406849053335,0.41693707558959
1988-04-13 to 1988-04-26,0.22780475325913516,0.41693707558959
1988-04-27 to 1988-05-10,0.26420782292087247,0.41693707558959
1988-05-11 to 1988-05-24,0.2055427496394657,0.41693707558959
1988-05-25 to 1988-06-08,0.18114491607953864,0.41693707558959
1988-06-09 to 1988-06-22,0.17062617065665756,0.41693707558959
1988-06-23 to 1988-07-07,0.15768191347496943,0.41693707558959
1988-07-08 to 1988-07-21,0.24702272171390421,0.41693707558959
1988-07-22 to 1988-08-04,0.1869875290613795,0.41693707558959
1988-08-05 to 1988-08-18,0.3035663837523358,0.41693707558959
1988-08-19 to 1988-09-01,0.25549436383426555,0.41693707558959
1988-09-02 to 1988-09-16,0.1749771886255316,0.41693707558959
1988-09-19 to 1988-09-30,0.21256971267599703,0.41693707558959
1988-10-03 to 1988-10-14,0.2780016634061277,0.41693707558959
1988-10-17 to 1988-10-28,0.2222315059773493,0.41693707558959
1988-10-31 to 1988-11-11,0.16859007601283382,0.41693707558959
1988-11-14 to 1988-11-28,0.22923818906415525,0.41693707558959
1988-11-29 to 1988-12-12,0.19186872241339564,0.41693707558959
1988-12-13 to 1988-12-27,0.27751549777529566,0.41693707558959
1988-12-28 to 1989-01-11,0.32871128645761544,0.41693707558959
1989-01-12 to 1989-01-25,0.4923457822550851,0.41693707558959
1989-01-26 to 1989-02-08,0.2723199129365701,0.41693707558959
1989-02-09 to 1989-02-23,0.2075707438201488,0.41693707558959
1989-02-24 to 1989-03-09,0.16596549901660546,0.41693707558959
1989-03-10 to 1989-03-23,0.32114185437435544,0.41693707558959
1989-03-27 to 1989-04-07,0.2651098238434867,0.41693707558959
1989-04-10 to 1989-04-21,0.24366159111171118,0.41693707558959
1989-04-24 to 1989-05-05,0.1975641226428035,0.41693707558959
1989-05-08 to 1989-05-19,0.27535134854813614,0.41693707558959
1989-05-22 to 1989-06-05,0.5597720922578483,0.41693707558959
1989-06-06 to 1989-06-19,0.2853769674220598,0.41693707558959
1989-06-20 to 1989-07-03,0.22774494289217834,0.41693707558959
1989-07-05 to 1989-07-18,0.2856703209629039,0.41693707558959
1989-07-19 to 1989-08-01,0.43772048408246517,0.41693707558959
1989-08-02 to 1989-08-15,0.22003623326984523,0.41693707558959
1989-08-16 to 1989-08-29,0.1631458325991459,0.41693707558959
1989-08-30 to 1989-09-13,0.18723699574973435,0.41693707558959
1989-09-14 to 1989-09-27,0.3511458550641824,0.41693707558959
1989-09-28 to 1989-10-11,0.4238972990956055,0.41693707558959
1989-10-12 to 1989-10-25,0.26311321749930133,0.41693707558959
1989-10-26 to 1989-11-08,0.2738556114204145,0.41693707558959
1989-11-09 to 1989-11-22,0.2814109146960805,0.41693707558959
1989-11-24 to 1989-12-07,0.48629086480080225,0.41693707558959
1989-12-08 to 1989-12-21,0.34897225232330703,0.41693707558959
1989-12-22 to 1990-01-08,0.4011072002003433,0.41693707558959
